ID	Gene.Symbol
PRCC	CGC
PRDM1	CGC
PRDM16	CGC
PRDM2	CGC
PREX2	CGC
PRF1	CGC
PRKACA	CGC
PRKAR1A	CGC
PRKCB	CGC
PRKD1	CGC
PRPF40B	CGC
PRRX1	CGC
PSIP1	CGC
PTCH1	CGC
PTEN	CGC
PTK6	CGC
PTPN11	CGC
PTPN13	CGC
PTPN6	CGC
PTPRB	CGC
PTPRC	CGC
PTPRD	CGC
PTPRK	CGC
PTPRT	CGC
PWWP2A	CGC
QKI	CGC
RABEP1	CGC
RAC1	CGC
RAD17	CGC
RAD21	CGC
RAD51B	CGC
RAF1	CGC
RALGDS	CGC
RANBP2	CGC
RAP1GDS1	CGC
RARA	CGC
RB1	CGC
RBM10	CGC
RBM15	CGC
RECQL4	CGC
REL	CGC
RET	CGC
RFWD3	CGC
RGPD3	CGC
RGS7	CGC
RHOA	CGC
RHOH	CGC
RMI2	CGC
RNF213	CGC
RNF43	CGC
ROBO2	CGC
ROS1	CGC
RPL10	CGC
RPL22	CGC
RPL5	CGC
RPN1	CGC
RSPO2	CGC
RSPO3	CGC
RUNX1	CGC
RUNX1T1	CGC
S100A7	CGC
SALL4	CGC
SBDS	CGC
SDC4	CGC
SDHA	CGC
SDHAF2	CGC
SDHB	CGC
SDHC	CGC
SDHD	CGC
05-Sep	CGC
06-Sep	CGC
09-Sep	CGC
SET	CGC
SETBP1	CGC
SETD1B	CGC
SETD2	CGC
SETDB1	CGC
SF3B1	CGC
SFPQ	CGC
SFRP4	CGC
SGK1	CGC
SH2B3	CGC
SH3GL1	CGC
SHTN1	CGC
SIRPA	CGC
SIX1	CGC
SIX2	CGC
SKI	CGC
SLC34A2	CGC
SLC45A3	CGC
SMAD2	CGC
SMAD3	CGC
SMAD4	CGC
SMARCA4	CGC
SMARCB1	CGC
SMARCD1	CGC
SMARCE1	CGC
SMC1A	CGC
SMO	CGC
SND1	CGC
SNX29	CGC
SOCS1	CGC
SOX2	CGC
SOX21	CGC
SPECC1	CGC
SPEN	CGC
SPOP	CGC
SRC	CGC
SRGAP3	CGC
SRSF2	CGC
SRSF3	CGC
SS18	CGC
SS18L1	CGC
SSX1	CGC
SSX2	CGC
SSX4	CGC
STAG1	CGC
STAG2	CGC
STAT3	CGC
STAT5B	CGC
STAT6	CGC
STIL	CGC
STK11	CGC
STRN	CGC
SUB1	CGC
SUFU	CGC
SUZ12	CGC
SYK	CGC
TAF15	CGC
TAL1	CGC
TAL2	CGC
TBL1XR1	CGC
TBX3	CGC
TCEA1	CGC
TCF12	CGC
TCF3	CGC
TCF7L2	CGC
TCL1A	CGC
TEC	CGC
TENT5C	CGC
TERT	CGC
TET1	CGC
TET2	CGC
TFE3	CGC
TFEB	CGC
TFG	CGC
TFPT	CGC
TFRC	CGC
TGFBR2	CGC
THRAP3	CGC
TLX1	CGC
TLX3	CGC
TMEM127	CGC
TMPRSS2	CGC
TMSB4X	CGC
TNC	CGC
TNFAIP3	CGC
TNFRSF14	CGC
TNFRSF17	CGC
TOP1	CGC
TP53	CGC
TP63	CGC
TPM3	CGC
TPM4	CGC
TPR	CGC
TRA	CGC
TRAF7	CGC
TRB	CGC
TRD	CGC
TRIM24	CGC
TRIM27	CGC
TRIM33	CGC
TRIP11	CGC
TRRAP	CGC
TSC1	CGC
TSC2	CGC
TSHR	CGC
U2AF1	CGC
UBR5	CGC
USP44	CGC
USP6	CGC
USP8	CGC
USP9X	CGC
VAV1	CGC
VHL	CGC
VTI1A	CGC
WAS	CGC
WDCP	CGC
WIF1	CGC
WNK2	CGC
WRN	CGC
WT1	CGC
WWTR1	CGC
XPA	CGC
XPC	CGC
XPO1	CGC
YWHAE	CGC
ZBTB16	CGC
ZCCHC8	CGC
ZEB1	CGC
ZFHX3	CGC
ZMYM2	CGC
ZMYM3	CGC
ZNF331	CGC
ZNF384	CGC
ZNF429	CGC
ZNF479	CGC
ZNF521	CGC
ZNRF3	CGC
ZRSR2	CGC
